,date,opponent,result,location,w/l,conf,season,team
1,09/06/25,Austin Peay,3:30 pm,Home,,,2025,Georgia
2,09/13/25,Tennessee,3:30 pm,Away,,,2025,Georgia
3,09/27/25,Alabama,7:30 pm,Home,,,2025,Georgia
4,10/04/25,Kentucky,12:00 pm,Home,,,2025,Georgia
5,10/11/25,Auburn,12:00 pm,Away,,,2025,Georgia
6,10/18/25,Mississippi,12:00 pm,Home,,,2025,Georgia
7,11/01/25,Florida,3:30 pm,Neutral,,,2025,Georgia
8,11/08/25,Mississippi St,12:00 pm,Away,,,2025,Georgia
9,11/15/25,Texas,12:00 pm,Home,,,2025,Georgia
10,11/22/25,Charlotte,12:45 pm,Home,,,2025,Georgia
11,11/28/25,Georgia Tech,3:30 pm,Neutral,,,2025,Georgia
0,08/30/25,Fresno St,9:30 pm,Away,,,2025,Georgia Southern
1,09/06/25,USC,7:30 pm,Away,,,2025,Georgia Southern
2,09/13/25,Jacksonville St,7:00 pm,Home,,,2025,Georgia Southern
3,09/20/25,Maine,7:00 pm,Home,,,2025,Georgia Southern
4,09/27/25,J Madison,12:00 pm,Away,,,2025,Georgia Southern
5,10/09/25,Southern Miss,12:00 pm,Home,,,2025,Georgia Southern
6,10/18/25,Georgia St,12:00 pm,Home,,,2025,Georgia Southern
7,10/25/25,Arkansas St,12:00 pm,Away,,,2025,Georgia Southern
8,11/06/25,App State,12:00 pm,Away,,,2025,Georgia Southern
9,11/15/25,Coastal Car,12:00 pm,Home,,,2025,Georgia Southern
10,11/22/25,Old Dominion,12:00 pm,Home,,,2025,Georgia Southern
11,11/29/25,Marshall,12:00 pm,Away,,,2025,Georgia Southern
0,08/30/25,Mississippi,7:45 pm,Away,,,2025,Georgia State
1,09/06/25,Memphis,7:00 pm,Home,,,2025,Georgia State
2,09/13/25,Murray St,7:00 pm,Home,,,2025,Georgia State
3,09/20/25,Vanderbilt,7:30 pm,Away,,,2025,Georgia State
4,10/04/25,J Madison,12:00 pm,Home,,,2025,Georgia State
5,10/11/25,App State,12:00 pm,Home,,,2025,Georgia State
6,10/18/25,Georgia So,12:00 pm,Away,,,2025,Georgia State
7,10/23/25,S Alabama,7:30 pm,Home,,,2025,Georgia State
8,11/08/25,Coastal Car,12:00 pm,Away,,,2025,Georgia State
9,11/15/25,Marshall,12:00 pm,Home,,,2025,Georgia State
10,11/22/25,Troy,12:00 pm,Away,,,2025,Georgia State
11,11/29/25,Old Dominion,12:00 pm,Away,,,2025,Georgia State
0,08/29/25,Colorado,8:00 pm,Away,,,2025,Georgia Tech
1,09/06/25,Gard-Webb,3:30 pm,Home,,,2025,Georgia Tech
2,09/13/25,Clemson,12:00 pm,Home,,,2025,Georgia Tech
3,09/20/25,Temple,12:00 pm,Home,,,2025,Georgia Tech
4,09/27/25,Wake Forest,12:00 pm,Away,,,2025,Georgia Tech
5,10/11/25,Virginia Tech,12:00 pm,Home,,,2025,Georgia Tech
6,10/18/25,Duke,12:00 pm,Away,,,2025,Georgia Tech
7,10/25/25,Syracuse,12:00 pm,Home,,,2025,Georgia Tech
8,11/01/25,NC State,12:00 pm,Away,,,2025,Georgia Tech
9,11/15/25,Boston College,12:00 pm,Away,,,2025,Georgia Tech
10,11/22/25,Pittsburgh,12:00 pm,Home,,,2025,Georgia Tech
11,11/28/25,Georgia,3:30 pm,Neutral,,,2025,Georgia Tech
0,08/23/25,Stanford,7:30 pm,Home,,,2025,Hawaii Rainbow Warriors
1,08/30/25,Arizona,10:30 pm,Away,,,2025,Hawaii Rainbow Warriors
2,09/06/25,Sam Houston,12:00 pm,Home,,,2025,Hawaii Rainbow Warriors
3,09/13/25,Portland St,12:00 pm,Home,,,2025,Hawaii Rainbow Warriors
4,09/20/25,Fresno St,12:00 pm,Home,,,2025,Hawaii Rainbow Warriors
5,09/27/25,Air Force,12:00 pm,Away,,,2025,Hawaii Rainbow Warriors
6,10/11/25,Utah St,12:00 pm,Home,,,2025,Hawaii Rainbow Warriors
7,10/18/25,Colorado St,12:00 pm,Away,,,2025,Hawaii Rainbow Warriors
8,11/01/25,San Jose St,10:30 pm,Away,,,2025,Hawaii Rainbow Warriors
9,11/08/25,San Diego St,12:00 pm,Home,,,2025,Hawaii Rainbow Warriors
10,11/21/25,UNLV,10:30 pm,Away,,,2025,Hawaii Rainbow Warriors
11,11/29/25,Wyoming,12:00 pm,Home,,,2025,Hawaii Rainbow Warriors
0,08/28/25,Ste F Austin,8:00 pm,Home,,,2025,Houston
1,09/06/25,Rice,7:00 pm,Away,,,2025,Houston
2,09/12/25,Colorado,7:30 pm,Home,,,2025,Houston
3,09/26/25,Oregon St,10:30 pm,Away,,,2025,Houston
4,10/04/25,Texas Tech,12:00 pm,Home,,,2025,Houston
5,10/11/25,Oklahoma St,12:00 pm,Away,,,2025,Houston
6,10/18/25,Arizona,12:00 pm,Home,,,2025,Houston
7,10/25/25,Arizona St,12:00 pm,Away,,,2025,Houston
8,11/01/25,West Virginia,12:00 pm,Home,,,2025,Houston
9,11/07/25,UCF,12:00 pm,Away,,,2025,Houston
10,11/22/25,TCU,12:00 pm,Home,,,2025,Houston
11,11/29/25,Baylor,12:00 pm,Away,,,2025,Houston
0,08/29/25,W Illinois,7:30 pm,Home,,,2025,Illinois
1,09/06/25,Duke,12:00 pm,Away,,,2025,Illinois
2,09/13/25,W Michigan,7:00 pm,Home,,,2025,Illinois
3,09/20/25,Indiana,12:00 pm,Away,,,2025,Illinois
4,09/27/25,USC,12:00 pm,Home,,,2025,Illinois
5,10/04/25,Purdue,12:00 pm,Away,,,2025,Illinois
6,10/11/25,Ohio St,12:00 pm,Home,,,2025,Illinois
7,10/25/25,Washington,12:00 pm,Away,,,2025,Illinois
8,11/01/25,Rutgers,12:00 pm,Home,,,2025,Illinois
9,11/15/25,Maryland,12:00 pm,Home,,,2025,Illinois
10,11/22/25,Wisconsin,12:00 pm,Away,,,2025,Illinois
11,11/29/25,Northwestern,12:00 pm,Home,,,2025,Illinois
0,08/30/25,Old Dominion,2:30 pm,Home,,,2025,Indiana
1,09/06/25,Kennesaw St,12:00 pm,Home,,,2025,Indiana
2,09/12/25,Indiana St,12:00 pm,Home,,,2025,Indiana
3,09/20/25,Illinois,12:00 pm,Home,,,2025,Indiana
4,09/27/25,Iowa,12:00 pm,Away,,,2025,Indiana
5,10/11/25,Oregon,12:00 pm,Away,,,2025,Indiana
6,10/18/25,Michigan St,12:00 pm,Home,,,2025,Indiana
7,10/25/25,UCLA,12:00 pm,Home,,,2025,Indiana
8,11/01/25,Maryland,12:00 pm,Away,,,2025,Indiana
9,11/08/25,Penn St,12:00 pm,Away,,,2025,Indiana
10,11/15/25,Wisconsin,12:00 pm,Home,,,2025,Indiana
11,11/28/25,Purdue,7:30 pm,Away,,,2025,Indiana
0,08/30/25,Albany,6:00 pm,Home,,,2025,Iowa
1,09/06/25,Iowa St,12:00 pm,Away,,,2025,Iowa
2,09/13/25,UMass,7:30 pm,Home,,,2025,Iowa
3,09/19/25,Rutgers,8:00 pm,Away,,,2025,Iowa
4,09/27/25,Indiana,12:00 pm,Home,,,2025,Iowa
5,10/11/25,Wisconsin,12:00 pm,Away,,,2025,Iowa
6,10/18/25,Penn St,12:00 pm,Home,,,2025,Iowa
7,10/25/25,Minnesota,12:00 pm,Home,,,2025,Iowa
8,11/08/25,Oregon,12:00 pm,Home,,,2025,Iowa
9,11/15/25,USC,12:00 pm,Away,,,2025,Iowa
10,11/22/25,Michigan St,12:00 pm,Home,,,2025,Iowa
11,11/28/25,Nebraska,12:00 pm,Away,,,2025,Iowa
0,08/23/25,Kansas St,12:00 pm,Neutral,,,2025,Iowa State
1,08/30/25,South Dakota,3:30 pm,Home,,,2025,Iowa State
2,09/06/25,Iowa,12:00 pm,Home,,,2025,Iowa State
3,09/13/25,Arkansas St,4:00 pm,Away,,,2025,Iowa State
4,09/27/25,Arizona,12:00 pm,Home,,,2025,Iowa State
5,10/04/25,Cincinnati,12:00 pm,Away,,,2025,Iowa State
6,10/11/25,Colorado,12:00 pm,Away,,,2025,Iowa State
7,10/25/25,BYU,12:00 pm,Home,,,2025,Iowa State
8,11/01/25,Arizona St,12:00 pm,Home,,,2025,Iowa State
9,11/08/25,TCU,12:00 pm,Away,,,2025,Iowa State
10,11/22/25,Kansas,12:00 pm,Home,,,2025,Iowa State
11,11/29/25,Oklahoma St,12:00 pm,Away,,,2025,Iowa State
0,08/30/25,Weber State,6:00 pm,Home,,,2025,James Madison
1,09/05/25,Louisville,7:00 pm,Away,,,2025,James Madison
2,09/20/25,Liberty,12:00 pm,Away,,,2025,James Madison
3,09/27/25,Georgia So,12:00 pm,Home,,,2025,James Madison
4,10/04/25,Georgia St,12:00 pm,Away,,,2025,James Madison
5,10/11/25,Louisiana,12:00 pm,Home,,,2025,James Madison
6,10/18/25,Old Dominion,12:00 pm,Home,,,2025,James Madison
7,10/28/25,Texas St,7:30 pm,Away,,,2025,James Madison
8,11/08/25,Marshall,12:00 pm,Away,,,2025,James Madison
9,11/15/25,App State,12:00 pm,Home,,,2025,James Madison
10,11/22/25,Washington St,12:00 pm,Home,,,2025,James Madison
11,11/29/25,Coastal Car,12:00 pm,Away,,,2025,James Madison
0,08/28/25,UCF,7:00 pm,Away,,,2025,Jacksonville State
1,09/06/25,Liberty,12:00 pm,Home,,,2025,Jacksonville State
2,09/13/25,Georgia So,7:00 pm,Away,,,2025,Jacksonville State
3,09/20/25,Murray St,7:00 pm,Home,,,2025,Jacksonville State
4,09/27/25,Southern Miss,12:00 pm,Away,,,2025,Jacksonville State
5,10/09/25,Sam Houston,8:00 pm,Away,,,2025,Jacksonville State
6,10/15/25,Delaware,7:00 pm,Home,,,2025,Jacksonville State
7,10/29/25,Middle Tenn,7:30 pm,Away,,,2025,Jacksonville State
8,11/08/25,UTEP,3:00 pm,Away,,,2025,Jacksonville State
9,11/15/25,Kennesaw St,2:00 pm,Home,,,2025,Jacksonville State
10,11/22/25,Florida Intl,3:30 pm,Away,,,2025,Jacksonville State
11,11/29/25,W Kentucky,2:00 pm,Home,,,2025,Jacksonville State
0,08/23/25,Fresno St,6:30 pm,Home,,,2025,Kansas
1,08/29/25,Wagner,7:30 pm,Home,,,2025,Kansas
2,09/06/25,Missouri,3:30 pm,Away,,,2025,Kansas
3,09/20/25,West Virginia,12:00 pm,Home,,,2025,Kansas
4,09/27/25,Cincinnati,12:00 pm,Home,,,2025,Kansas
5,10/04/25,UCF,12:00 pm,Away,,,2025,Kansas
6,10/11/25,Texas Tech,12:00 pm,Away,,,2025,Kansas
7,10/25/25,Kansas St,12:00 pm,Home,,,2025,Kansas
8,11/01/25,Oklahoma St,12:00 pm,Home,,,2025,Kansas
9,11/08/25,Arizona,12:00 pm,Away,,,2025,Kansas
10,11/22/25,Iowa St,12:00 pm,Away,,,2025,Kansas
11,11/28/25,Utah,12:00 pm,Home,,,2025,Kansas
0,08/23/25,Iowa St,12:00 pm,Neutral,,,2025,Kansas State
